CardName,CardEffect,CardType,CardRace,Mana,Civilization,Power,Set,SetNum,ImageURL
"Frei, Vizier of Air",■ End Step,Creature,Initiate,4,Light,3000,DM-01,43,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-43
"Gran Gure, Space Guardian","■ Blocker
■ This creature can't attack players.",Creature,Guardian,6,Light,9000,DM-01,1,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-1
"Iere, Vizier of Bullets",,Creature,Initiate,3,Light,3000,DM-01,72,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-72
"Iocant, the Oracle","■ Blocker
■ While you have at least 1 Angel Command in the battle zone, this creature gets +2000 power.
■ This creature can't attack players.",Creature,Light Bringer,2,Light,2000+,DM-01,45,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-45
"La Ura Giga, Sky Guardian","■ Blocker
■ This creature can't attack players.",Creature,Guardian,1,Light,2000,DM-01,76,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-76
"Lah, Purification Enforcer",,Creature,Berserker,5,Light,5500,DM-01,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-12
Holy Awe,"■ Shield Trigger
■ Tap all your opponent's creatures in the battle zone.",Spell,,6,Light,,DM-01,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-15
Laser Wing,■ Choose up to 2 of your creatures in the battle zone. They can't be blocked this turn.,Spell,,5,Light,,DM-01,16,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-16
"Lok, Vizier of Hunting",,Creature,Initiate,4,Light,4000,DM-01,42,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-42
"Hanusa, Radiance Elemental",■ Double Breaker,Creature,Angel Command,7,Light,9500,DM-01,S1,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-S1
"Miele, Vizier of Lightning","■ When you put this creature into the battle zone, you may choose one of your opponent's creatures in the battle zone and tap it.",Creature,Initiate,3,Light,1000,DM-01,73,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-73
Solar Ray,"■ Shield Trigger
■ Choose one of your opponent's creatures in the battle zone and tap it.",Spell,,2,Light,,DM-01,78,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-78
"Reusol, the Oracle",,Creature,Light Bringer,2,Light,2000,DM-01,75,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-75
Ruby Grass,"■ Blocker
■ This creature can't attack players.
■ End Step",Creature,Starlight Tree,3,Light,3000,DM-01,44,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-44
"Toel, Vizier of Hope",■ End Step,Creature,Initiate,5,Light,2000,DM-01,41,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-41
"Szubs Kin, Twilight Guardian","■ Blocker
■ This creature can't attack players.",Creature,Guardian,5,Light,6000,DM-01,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-11
"Rayla, Truth Enforcer","■ When you put this creature into the battle zone, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck.",Creature,Berserker,6,Light,3000,DM-01,2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DM-01-2
